claim_english,claim_type,source
"Eating wheat causes cancer.","other","Medical Myth Directory"
"Eating gluten or wheat leads to cancer.","other","Medical Myth Directory"
"Cracking your knuckles causes arthritis.","other","Medical Myth Directory"
"Eating sugar makes children hyperactive.","other","Medical Myth Directory"
"Going out with wet hair causes you to catch a cold.","other","Medical Myth Directory"
"You only use 10% of your brain.","other","Medical Myth Directory"
"Shaving makes your hair grow back thicker and darker.","other","Medical Myth Directory"
"Eating carrots gives you night vision.","other","Medical Myth Directory"
"Microwaving food destroys its nutrients and causes cancer.","other","Medical Myth Directory"
"Microwaving food causes it to become radioactive.","other","Medical Myth Directory"
"Swallowed chewing gum takes 7 years to digest.","other","Medical Myth Directory"
"Vaccines cause autism and cancer in children.","other","Medical Myth Directory"
"Drinking cold water causes heart attacks.","other","Medical Myth Directory"
"Eating late at night makes you gain more weight than eating earlier.","prevention","Medical Myth Directory"
"You need to drink 8 glasses of water a day.","other","Medical Myth Directory"
"Reading in the dark ruins your eyesight.","other","Medical Myth Directory"
"Sitting too close to the TV damages your vision.","other","Medical Myth Directory"
"Green mucus means you have a bacterial infection.","diagnosis","Medical Myth Directory"
"Starve a fever, feed a cold.","cure","Medical Myth Directory"
"Using antiperspirant deodorants causes breast cancer.","other","Medical Myth Directory"
"Organic food is always more nutritious than conventional food.","other","Medical Myth Directory"
"Vitamin C prevents catching a cold.","prevention","Medical Myth Directory"
"Waking a sleepwalker is dangerous and can give them a heart attack.","other","Medical Myth Directory"
"Swallowing watermelon seeds will make a watermelon grow in your stomach.","other","Medical Myth Directory"
"Eating cheese before bed gives you nightmares.","other","Medical Myth Directory"
"Hair and fingernails continue to grow after death.","other","Medical Myth Directory"
"Touching a toad gives you warts.","other","Medical Myth Directory"
"A dog's mouth is cleaner than a human's mouth.","other","Medical Myth Directory"
"Coffee stunts your growth.","other","Medical Myth Directory"
"Eating chocolate causes acne and pimples.","other","Medical Myth Directory"
"You need less sleep as you get older.","other","Medical Myth Directory"
"Popping a pimple makes it go away faster.","cure","Medical Myth Directory"
"Brown eggs are healthier than white eggs.","other","Medical Myth Directory"
"Drinking milk after eating fish causes white spots or vitiligo.","other","Medical Myth Directory"
"Standing near a microwave causes radiation poisoning.","other","Medical Myth Directory"
"5G networks cause COVID-19 and other viral diseases.","other","Medical Myth Directory"
"Eating soy products causes breast cancer.","other","Medical Myth Directory"
"Detox diets and juices cleanse your liver of toxins.","other","Medical Myth Directory"
"Antiperspirants trap toxins in your body.","other","Medical Myth Directory"
"You should wait an hour after eating before swimming to avoid cramps.","other","Medical Myth Directory"
"Sugar is the sole cause of diabetes.","other","Medical Myth Directory"
"Drinking cold water after a hot meal causes cancer.","other","Medical Myth Directory"
"Eating spicy food causes stomach ulcers.","other","Medical Myth Directory"
"You can catch a cold from being physically cold.","other","Medical Myth Directory"
"All cholesterol is bad for your health.","other","Medical Myth Directory"
"Applying butter to a burn helps it heal faster.","cure","Medical Myth Directory"
"Drinking eight glasses of water prevents dry skin.","prevention","Medical Myth Directory"
